gene_id	gene_name	chromosome	start	end	copy_number	min_copy_number	max_copy_number
ENSG00000127884.5	ECHS1	chr10	133362485	133373354	5	5	5
ENSG00000265395.1	MIR3944	chr10	133371556	133371663	5	5	5
ENSG00000274685.1	AL360181.4	chr10	133374736	133374869	5	5	5
ENSG00000148832.16	PAOX	chr10	133379261	133391694	5	5	5
ENSG00000254536.2	AL360181.3	chr10	133380017	133420271	5	5	5
ENSG00000148824.19	MTG1	chr10	133394094	133422520	5	5	5
ENSG00000203772.7	SPRN	chr10	133420666	133424572			
ENSG00000273327.1	OR6L2P	chr10	133430394	133431318			
ENSG00000214279.13	SCART1	chr10	133453928	133523558			
ENSG00000273336.1	OR7M1P	chr10	133481238	133481770			
ENSG00000130649.10	CYP2E1	chr10	133520406	133561220			
ENSG00000278518.1	AL161645.1	chr10	133526259	133527513			
ENSG00000286789.1	AL161645.2	chr10	133541809	133542575			
ENSG00000171772.17	SYCE1	chr10	133553901	133569835			
ENSG00000288107.1	AL731769.2	chr10	133565797	133629507			
ENSG00000233685.1	OR6L1P	chr10	133575122	133576031			
ENSG00000287327.1	AL731769.1	chr10	133588914	133589413			
ENSG00000225899.8	FRG2B	chr10	133623895	133626795			
ENSG00000213543.2	RARRES2P2	chr10	133637408	133637892			
ENSG00000233435.2	AGGF1P2	chr10	133640789	133642894			
ENSG00000230468.1	CLUHP5	chr10	133657235	133660635			
ENSG00000279626.1	DUX4L28	chr10	133664429	133665106			
ENSG00000280337.1	DUX4L25	chr10	133667151	133668419			
ENSG00000274599.2	DUX4L24	chr10	133670450	133671718			
ENSG00000276964.1	DUX4L23	chr10	133673749	133675017			
ENSG00000277274.1	DUX4L22	chr10	133677059	133678327			
ENSG00000275610.1	DUX4L21	chr10	133680369	133681637			
ENSG00000276164.1	DUX4L20	chr10	133683668	133684936			
ENSG00000237635.2	DUX4L29	chr10	133740606	133741284			
ENSG00000278664.1	DUX4L10	chr10	133743332	133744598			
ENSG00000278761.1	DUX4L11	chr10	133746641	133747907			
ENSG00000278790.1	DUX4L12	chr10	133749950	133751216			
ENSG00000276046.1	DUX4L13	chr10	133753250	133754516			
ENSG00000276904.1	DUX4L14	chr10	133756559	133757825			
ENSG00000278641.1	DUX4L15	chr10	133759859	133761125			
ENSG00000213147.3	RPL23AP60	chr10	133778246	133778699			
ENSG00000282875.1	BX322534.1	chr10	133778258	133778498			
ENSG00000253826.1	WBP1LP10	chr11	75780	76143			
ENSG00000224777.3	OR4F2P	chr11	86649	87586			
ENSG00000254468.2	AC069287.1	chr11	112967	125927			
ENSG00000270921.1	CICP23	chr11	123312	126123			
ENSG00000230724.9	LINC01001	chr11	127204	139612			
ENSG00000255229.1	AC069287.3	chr11	129279	186136			
ENSG00000222225.1	RNU6-447P	chr11	152999	153102			
ENSG00000177951.17	BET1L	chr11	167784	207428			
ENSG00000188076.3	SCGB1C1	chr11	193078	194575			
ENSG00000177947.14	ODF3	chr11	196761	200261			
ENSG00000254559.1	AC069287.2	chr11	203623	205470			
ENSG00000177963.14	RIC8A	chr11	207511	215113			
ENSG00000283920.1	MIR6743	chr11	209336	209406			
ENSG00000142082.15	SIRT3	chr11	215030	236931			
ENSG00000185627.18	PSMD13	chr11	236966	252984			
ENSG00000277290.1	AC136475.10	chr11	243099	243483			
ENSG00000174885.13	NLRP6	chr11	278407	285388			
ENSG00000255026.1	AC136475.3	chr11	287305	288987			
ENSG00000142102.16	PGGHG	chr11	289126	296107			
ENSG00000206013.2	IFITM5	chr11	298200	299526			
ENSG00000255533.1	AC136475.6	chr11	303856	304144			
ENSG00000185201.16	IFITM2	chr11	307631	315272			
ENSG00000254910.1	AC136475.2	chr11	310139	311141			
ENSG00000185885.16	IFITM1	chr11	313506	315272			
ENSG00000251661.3	AC136475.1	chr11	318640	325631			
ENSG00000142089.16	IFITM3	chr11	319676	327537			
ENSG00000255089.1	AC136475.4	chr11	321991	322426			
ENSG00000270105.1	AC136475.8	chr11	322186	322727			
ENSG00000270030.1	AC136475.7	chr11	325703	326294			
ENSG00000255328.1	AC136475.5	chr11	327171	330122			
ENSG00000270972.1	AC136475.9	chr11	333192	333688			
ENSG00000182272.12	B4GALNT4	chr11	369499	382117			
ENSG00000184363.10	PKP3	chr11	392614	404908			
ENSG00000185187.13	SIGIRR	chr11	405716	417455			
ENSG00000185101.13	ANO9	chr11	417933	442011			
ENSG00000243562.3	RN7SL838P	chr11	440399	440693			
ENSG00000174915.12	PTDSS2	chr11	448268	491399	2	2	2
ENSG00000255237.1	AC138230.1	chr11	462930	463899	2	2	2
ENSG00000023191.17	RNH1	chr11	494512	507300	2	2	2
ENSG00000288033.1	AC137894.4	chr11	512513	518134	2	2	2
ENSG00000254739.1	AC137894.1	chr11	528907	529659	2	2	2
ENSG00000174775.17	HRAS	chr11	532242	537287	2	2	2
ENSG00000161328.11	LRRC56	chr11	537527	554912	2	2	2
ENSG00000185522.9	LMNTD2	chr11	554850	560738	2	2	2
ENSG00000254815.6	LMNTD2-AS1	chr11	557595	560107	2	2	2
ENSG00000099849.15	RASSF7	chr11	560404	564025	2	2	2
ENSG00000247095.3	MIR210HG	chr11	565660	568457	2	2	2
ENSG00000199038.1	MIR210	chr11	568089	568198	2	2	2
ENSG00000070047.13	PHRF1	chr11	576470	612222	2	2	2
ENSG00000185507.21	IRF7	chr11	612553	615983	2	2	2
ENSG00000099834.19	CDHR5	chr11	616577	626078	2	2	2
ENSG00000070031.4	SCT	chr11	626309	627181	2	2	2
ENSG00000069696.7	DRD4	chr11	637269	640706	2	2	2
ENSG00000177030.17	DEAF1	chr11	644233	706715	2	2	2
ENSG00000255158.1	AC131934.1	chr11	665910	678391	2	2	2
ENSG00000177106.16	EPS8L2	chr11	694438	727727	2	2	2
ENSG00000177042.14	TMEM80	chr11	695428	705028	2	2	2
ENSG00000269915.1	AP006621.4	chr11	708564	727047	2	2	2
ENSG00000177156.11	TALDO1	chr11	747415	765012	2	2	2
ENSG00000177225.17	GATD1	chr11	767220	777488	2	2	2
ENSG00000255284.2	AP006621.3	chr11	777578	784297	2	2	2
ENSG00000279672.1	AP006621.5	chr11	779617	780755	2	2	2
ENSG00000255142.1	AP006621.2	chr11	781645	782105	2	2	2
ENSG00000184524.6	CEND1	chr11	787115	790113	2	2	2
ENSG00000177542.11	SLC25A22	chr11	790475	798281	2	2	2
ENSG00000288675.1	AP006621.6	chr11	797511	799190	2	2	2
ENSG00000177595.18	PIDD1	chr11	799179	809753	2	2	2
ENSG00000177600.9	RPLP2	chr11	809965	812880	2	2	2
ENSG00000199785.1	SNORA52	chr11	811681	811814	2	2	2
ENSG00000177666.17	PNPLA2	chr11	818914	825573	2	2	2
ENSG00000255108.1	AP006621.1	chr11	823634	832883	2	2	2
ENSG00000177685.17	CRACR2B	chr11	826144	831991	2	2	2
ENSG00000177697.19	CD151	chr11	832887	839831	2	2	2
ENSG00000177700.6	POLR2L	chr11	837356	842529	2	2	2
ENSG00000214063.11	TSPAN4	chr11	842812	867116	2	2	2
ENSG00000250397.2	AP006623.1	chr11	856880	859795	2	2	2
ENSG00000177830.18	CHID1	chr11	867859	915058	2	2	2
ENSG00000183020.14	AP2A2	chr11	924894	1012245	2	2	2
ENSG00000222561.1	RNU6-1025P	chr11	948421	948524	2	2	2
ENSG00000184956.16	MUC6	chr11	1012823	1036718	2	2	2
ENSG00000254872.3	LINC02688	chr11	1049880	1055749	2	2	2
ENSG00000198788.9	MUC2	chr11	1074875	1110511	2	2	2
ENSG00000215182.8	MUC5AC	chr11	1157953	1201138	2	2	2
ENSG00000286275.1	AC061979.1	chr11	1218530	1220242	2	2	2
ENSG00000117983.17	MUC5B	chr11	1223066	1262172	2	2	2
ENSG00000255177.2	MUC5B-AS1	chr11	1242261	1249676	2	2	2
ENSG00000275669.1	MIR6744	chr11	1256605	1256670	2	2	2
ENSG00000078902.16	TOLLIP	chr11	1274371	1309654	2	2	2
ENSG00000255153.1	TOLLIP-AS1	chr11	1309769	1310707	2	2	2
ENSG00000287935.1	AC136297.1	chr11	1333250	1337068	2	2	2
ENSG00000285985.1	LINC02689	chr11	1350359	1364286	2	2	2
ENSG00000174672.16	BRSK2	chr11	1389899	1462689	2	2	2
ENSG00000285581.1	AC091196.1	chr11	1464582	1467632	2	2	2
ENSG00000182208.14	MOB2	chr11	1469457	1501247	2	2	2
ENSG00000184545.11	DUSP8	chr11	1554051	1572271	2	2	2
ENSG00000233930.4	KRTAP5-AS1	chr11	1571353	1599184	2	2	2
ENSG00000205869.2	KRTAP5-1	chr11	1584342	1585283	2	2	2
ENSG00000205867.3	KRTAP5-2	chr11	1597177	1598294	2	2	2
ENSG00000196224.7	KRTAP5-3	chr11	1607565	1608463	2	2	2
ENSG00000241598.5	KRTAP5-4	chr11	1620958	1622138	2	2	2
ENSG00000185940.10	KRTAP5-5	chr11	1629775	1630707	2	2	2
ENSG00000231487.1	AP006285.1	chr11	1662584	1663343	2	2	2
ENSG00000205866.4	FAM99A	chr11	1665597	1667856	2	2	2
ENSG00000205865.4	FAM99B	chr11	1683269	1685629	2	2	2
ENSG00000227306.1	LINC02708	chr11	1688297	1689056	2	2	2
ENSG00000205864.1	KRTAP5-6	chr11	1697195	1697755	2	2	2
ENSG00000244242.2	IFITM10	chr11	1732406	1750595	2	2	2
ENSG00000250644.3	AC068580.4	chr11	1734821	1763954	2	2	2
ENSG00000117984.15	CTSD	chr11	1752752	1764573	2	2	2
ENSG00000235027.1	AC068580.3	chr11	1760348	1762486	2	2	2
ENSG00000229512.1	AC068580.1	chr11	1763009	1763749	2	2	2
ENSG00000287484.1	AC068580.5	chr11	1773745	1774903	2	2	2
ENSG00000230834.1	AC068580.2	chr11	1776930	1778388	2	2	2
ENSG00000230980.1	RPL36AP39	chr11	1792553	1792870	2	2	2
ENSG00000230080.2	AC139143.1	chr11	1802889	1804095	2	2	2
ENSG00000149043.16	SYT8	chr11	1828307	1837521	2	2	2
ENSG00000130598.16	TNNI2	chr11	1838981	1841680	2	2	2
ENSG00000130592.17	LSP1	chr11	1850904	1892267	2	2	2
ENSG00000264493.1	MIR4298	chr11	1859464	1859536	2	2	2
ENSG00000249086.1	AC051649.1	chr11	1864177	1866667	2	2	2
ENSG00000284594.1	MIR7847	chr11	1880045	1880147	2	2	2
ENSG00000283787.2	PRR33	chr11	1888078	1891895	2	2	2
ENSG00000229671.3	LINC01150	chr11	1897015	1908656	2	2	2
ENSG00000130595.19	TNNT3	chr11	1919703	1938706	2	2	2
ENSG00000214026.11	MRPL23	chr11	1947278	1984522	2	2	2
ENSG00000226416.1	MRPL23-AS1	chr11	1983237	1989920	2	2	2
ENSG00000232987.2	LINC01219	chr11	1991096	1993670	2	2	2
ENSG00000130600.19	H19	chr11	1995176	2001470	2	2	2
ENSG00000275266.1	AC051649.3	chr11	1996540	1996610	2	2	2
ENSG00000284010.1	MIR675	chr11	1996759	1996831	2	2	2
ENSG00000274866.1	AC051649.2	chr11	1997484	1997552	2	2	2
ENSG00000167244.21	IGF2	chr11	2129112	2141238	2	2	2
ENSG00000284779.2	AC132217.2	chr11	2129112	2158391	2	2	2
ENSG00000240801.1	AC132217.1	chr11	2129121	2129964	2	2	2
ENSG00000129965.15	INS-IGF2	chr11	2132538	2161209	2	2	2
ENSG00000207805.3	MIR483	chr11	2134134	2134209	2	2	2
ENSG00000099869.8	IGF2-AS	chr11	2140501	2148666	2	2	2
ENSG00000254647.7	INS	chr11	2159779	2161221	2	2	2
ENSG00000180176.15	TH	chr11	2163929	2171815	2	2	2
ENSG00000265258.1	MIR4686	chr11	2173063	2173138	2	2	2
ENSG00000183734.4	ASCL2	chr11	2268495	2270952	2	2	2
ENSG00000110665.12	C11orf21	chr11	2295628	2303049	2	2	2
ENSG00000064201.16	TSPAN32	chr11	2301997	2318204	2	2	2
ENSG00000207308.1	RNU6-878P	chr11	2321718	2321827	2	2	2
ENSG00000238184.1	CD81-AS1	chr11	2328749	2377992	2	2	2
ENSG00000236264.5	RPL26P30	chr11	2335135	2347685	2	2	2
ENSG00000199550.1	Y_RNA	chr11	2372638	2372750	2	2	2
ENSG00000110651.12	CD81	chr11	2376177	2397397	2	2	2
ENSG00000184281.15	TSSC4	chr11	2400488	2403878	2	2	2
ENSG00000230483.1	AC124057.1	chr11	2404515	2407908	2	2	2
ENSG00000070985.13	TRPM5	chr11	2404515	2423045	2	2	2
ENSG00000053918.18	KCNQ1	chr11	2444684	2849105	2	2	2
ENSG00000269821.1	KCNQ1OT1	chr11	2608328	2699994	2	2	2
ENSG00000275666.1	AC021424.1	chr11	2652099	2652562	2	2	2
ENSG00000276105.1	AC021424.3	chr11	2674097	2674292	2	2	2
ENSG00000276494.1	AC021424.4	chr11	2674625	2674740	2	2	2
ENSG00000276015.1	AC021424.2	chr11	2697851	2698076	2	2	2
ENSG00000236041.1	COX6CP18	chr11	2771356	2771577	2	2	2
ENSG00000229414.2	KCNQ1-AS1	chr11	2840135	2861568	2	2	2
ENSG00000237941.2	KCNQ1DN	chr11	2870033	2872105	2	2	2
ENSG00000274740.1	AC013791.1	chr11	2871437	2871498	2	2	2
ENSG00000129757.14	CDKN1C	chr11	2883213	2885775	2	2	2
ENSG00000254827.6	SLC22A18AS	chr11	2887344	2903575	2	2	2
ENSG00000110628.16	SLC22A18	chr11	2899721	2925246	2	2	2
ENSG00000181649.8	PHLDA2	chr11	2928273	2929420	2	2	2
ENSG00000205531.13	NAP1L4	chr11	2944431	2992377	2	2	2
ENSG00000207008.1	SNORA54	chr11	2963771	2963893	2	2	2
ENSG00000183562.3	AC131971.1	chr11	2989863	2991344	2	2	2
ENSG00000110619.18	CARS1	chr11	3000922	3057613	2	2	2
ENSG00000247473.2	CARS1-AS1	chr11	3029009	3041260	2	2	2
ENSG00000201616.1	RNU1-91P	chr11	3048359	3048521	2	2	2
ENSG00000285644.1	AC108448.3	chr11	3057538	3064707	2	2	2
ENSG00000236710.1	AC108448.2	chr11	3084393	3085443	2	2	2
ENSG00000021762.20	OSBPL5	chr11	3087107	3166739	2	2	2
ENSG00000234791.1	AC108448.1	chr11	3189546	3189929	2	2	2
ENSG00000182170.3	MRGPRG	chr11	3217944	3218813	2	2	2
ENSG00000236301.5	MRGPRG-AS1	chr11	3218332	3223131	2	2	2
ENSG00000184350.11	MRGPRE	chr11	3225030	3232417	2	2	2
ENSG00000224513.2	AC109309.1	chr11	3226061	3232838	2	2	2
ENSG00000236987.2	NDUFA5P8	chr11	3276045	3276390	2	2	2
ENSG00000276951.1	AC109309.2	chr11	3289311	3289642	2	2	2
ENSG00000232390.3	NDUFA5P1	chr11	3321862	3322202	2	2	2
ENSG00000273813.1	AC123788.2	chr11	3335125	3335407	2	2	2
ENSG00000254592.1	AC123788.1	chr11	3336721	3340630	2	2	2
ENSG00000005801.18	ZNF195	chr11	3339261	3379222	2	2	2
ENSG00000223756.7	TSSC2	chr11	3380961	3408978	2	2	2
ENSG00000189398.5	OR7E12P	chr11	3390780	3391752	2	2	2
ENSG00000166492.9	FAM86GP	chr11	3410352	3422496	2	2	2
ENSG00000284605.1	AC127526.3	chr11	3429758	3500621	2	2	2
ENSG00000254757.1	AC127526.1	chr11	3469319	3531328	2	2	2
ENSG00000287906.1	AC127526.5	chr11	3475280	3477065	2	2	2
ENSG00000255367.3	AC127526.2	chr11	3481520	3581211	2	2	2
ENSG00000287312.1	AC127526.4	chr11	3511559	3520886	2	2	2
ENSG00000255522.1	SNRPCP5	chr11	3531420	3531608	2	2	2
ENSG00000237226.1	RPS3AP39	chr11	3549745	3550519	2	2	2
ENSG00000223688.2	RPS24P14	chr11	3559657	3560022	2	2	2
ENSG00000284639.1	AP006294.2	chr11	3580927	3581135	2	2	2
ENSG00000230851.1	AP006294.1	chr11	3591277	3591615	2	2	2
ENSG00000238161.1	OR7E117P	chr11	3599595	3600706	2	2	2
ENSG00000182048.11	TRPC2	chr11	3609901	3637559	2	2	2
ENSG00000167311.14	ART5	chr11	3638512	3642316	2	2	2
ENSG00000129744.3	ART1	chr11	3645128	3664416	2	2	2
ENSG00000201279.1	Y_RNA	chr11	3663815	3663911	2	2	2
ENSG00000200201.1	Y_RNA	chr11	3665164	3665259	2	2	2
ENSG00000129749.3	CHRNA10	chr11	3665587	3671384	2	2	2
ENSG00000110713.17	NUP98	chr11	3671083	3797792	2	2	2
ENSG00000251934.1	RNU6-1143P	chr11	3714772	3714875	2	2	2
ENSG00000238304.1	RNU7-50P	chr11	3781395	3781456	2	2	2
ENSG00000148985.20	PGAP2	chr11	3797724	3826371	2	2	2
ENSG00000177105.10	RHOG	chr11	3826978	3840959	2	2	2
ENSG00000228661.1	STIM1-AS1	chr11	3854318	3855509	2	2	2
ENSG00000167323.11	STIM1	chr11	3854527	4093210	2	2	2
ENSG00000229368.1	AC090587.1	chr11	3854612	3855399	2	2	2
ENSG00000284525.1	MIR4687	chr11	3856062	3856141	2	2	2
ENSG00000230593.3	PPIAP40	chr11	3892398	3892887	2	2	2
ENSG00000206976.1	AC087441.1	chr11	3922567	3922703	2	2	2
ENSG00000255232.1	AC087441.3	chr11	3961277	3961538	2	2	2
ENSG00000255141.1	HNRNPA1P76	chr11	3972881	3974237	2	2	2
ENSG00000224555.3	AC087441.2	chr11	3989163	3989463	2	2	2
ENSG00000240385.1	RPS29P20	chr11	4018948	4019118	2	2	2
ENSG00000167325.15	RRM1	chr11	4094707	4138932	2	2	2
ENSG00000255276.1	RRM1-AS1	chr11	4137116	4138257	2	2	2
ENSG00000231548.2	OR55B1P	chr11	4146112	4151104	2	2	2
ENSG00000254480.2	LINC02749	chr11	4179675	4202663	2	2	2
ENSG00000255387.1	RDXP1	chr11	4210354	4212091	2	2	2
ENSG00000284018.1	SSU72P5	chr11	4233288	4233872	2	2	2
ENSG00000284306.1	SSU72P2	chr11	4242056	4242640	2	2	2
ENSG00000236175.3	SSU72P6	chr11	4278705	4279192	2	2	2
ENSG00000283873.1	SSU72P4	chr11	4287499	4288083	2	2	2
ENSG00000284546.1	SSU72P3	chr11	4329865	4330449	2	2	2
ENSG00000284438.1	SSU72P7	chr11	4338660	4339244	2	2	2
ENSG00000221996.6	OR52B4	chr11	4367263	4368386	2	2	2
ENSG00000175800.5	OR52B3P	chr11	4378282	4379209	2	2	2
ENSG00000132109.10	TRIM21	chr11	4384897	4393702	2	2	2
ENSG00000225101.6	OR52K3P	chr11	4393783	4476361	2	2	2
ENSG00000237272.2	OR51R1P	chr11	4418060	4419011	2	2	2
ENSG00000171999.7	OR52P2P	chr11	4431323	4432277	2	2	2
ENSG00000181963.5	OR52K2	chr11	4449295	4450361	2	2	2
ENSG00000196778.3	OR52K1	chr11	4482646	4493497	2	2	2
ENSG00000226616.1	OR52M2P	chr11	4514966	4515924	2	2	2
ENSG00000197790.1	OR52M1	chr11	4545191	4546144	2	2	2
ENSG00000171987.3	C11orf40	chr11	4571423	4577820	2	2	2
ENSG00000226288.2	OR52I2	chr11	4581743	4593340	2	2	2
ENSG00000232268.6	OR52I1	chr11	4593614	4596574	2	2	2
ENSG00000167333.13	TRIM68	chr11	4598672	4608231	2	2	2
ENSG00000197428.3	OR51D1	chr11	4637477	4643060	2	2	2
ENSG00000180785.10	OR51E1	chr11	4643420	4655488	2	2	2
ENSG00000180723.6	OR51A9P	chr11	4660853	4661763	2	2	2
ENSG00000167332.9	OR51E2	chr11	4680171	4697854	2	2	2
ENSG00000197674.7	OR51C1P	chr11	4690423	4697831	2	2	2
ENSG00000167346.7	MMP26	chr11	4704927	4992429	2	2	2
ENSG00000272634.2	OR51F5P	chr11	4709569	4712421	2	2	2
ENSG00000272664.1	OR51C4P	chr11	4718612	4719559	2	2	2
ENSG00000271602.1	KRT8P49	chr11	4722740	4724171	2	2	2
ENSG00000272559.1	OR51F3P	chr11	4736178	4737078	2	2	2
ENSG00000273051.1	OR51F4P	chr11	4752046	4752944	2	2	2
ENSG00000201980.1	SNORA62	chr11	4756645	4756797	2	2	2
ENSG00000280021.1	OR51F1	chr11	4768979	4769938	2	2	2
ENSG00000176951.6	OR51N1P	chr11	4786754	4787705	2	2	2
ENSG00000231070.1	OR52Y1P	chr11	4793778	4795284	2	2	2
ENSG00000279270.2	OR52R1	chr11	4803433	4804380	2	2	2
ENSG00000176925.8	OR51F2	chr11	4821321	4822456	2	2	2
ENSG00000197984.4	OR51A8P	chr11	4830175	4833072	2	2	2
ENSG00000176922.4	OR51S1	chr11	4847489	4849238	2	2	2
ENSG00000176904.3	OR51H1	chr11	4859610	4863652	2	2	2
ENSG00000198217.4	OR51H2P	chr11	4871717	4878117	2	2	2
ENSG00000176900.2	OR51T1	chr11	4881819	4882883	2	2	2
ENSG00000197023.6	OR51A6P	chr11	4889593	4890596	2	2	2
ENSG00000176895.9	OR51A7	chr11	4903783	4909462	2	2	2
ENSG00000176893.5	OR51G2	chr11	4912588	4919350	2	2	2
ENSG00000278870.2	OR51G1	chr11	4923374	4924339	2	2	2
ENSG00000227023.1	OR51A3P	chr11	4937371	4938294	2	2	2
ENSG00000205497.4	OR51A4	chr11	4942831	4947605	2	2	2
ENSG00000205496.1	OR51A2	chr11	4954772	4955713	2	2	2
ENSG00000225003.1	OR51A5P	chr11	4972943	4973884	2	2	2
ENSG00000176798.3	OR51L1	chr11	4994851	5005536	2	2	2
ENSG00000224300.1	OR51P1P	chr11	5015138	5016079	2	2	2
ENSG00000230261.1	OR52J2P	chr11	5037013	5037951	2	2	2
ENSG00000205495.1	OR52J3	chr11	5046526	5047461	2	2	2
ENSG00000176787.2	OR52E2	chr11	5058650	5059627	2	2	2
ENSG00000273085.3	OR52E1	chr11	5069572	5070497	2	2	2
ENSG00000237354.1	OR52S1P	chr11	5076130	5077066	2	2	2
ENSG00000226157.1	OR52E3P	chr11	5092676	5093611	2	2	2
ENSG00000203560.3	OR52J1P	chr11	5104153	5105084	2	2	2
ENSG00000236897.1	AC113331.1	chr11	5106062	5107530	2	2	2
ENSG00000205494.9	OR52A4P	chr11	5120621	5124513	2	2	2
ENSG00000171944.2	OR52A5	chr11	5128776	5138356	2	2	2
ENSG00000182070.6	OR52A1	chr11	5143219	5154757	2	2	2
ENSG00000176752.6	OR51A1P	chr11	5170351	5171296	2	2	2
ENSG00000176748.6	OR52Z1	chr11	5177714	5178664	2	2	2
ENSG00000176742.3	OR51V1	chr11	5199735	5200682	2	2	2
ENSG00000224091.1	AC104389.2	chr11	5205041	5207308	2	2	2
ENSG00000285498.1	AC104389.7	chr11	5224309	5225461	2	2	2
ENSG00000221031.1	AC104389.1	chr11	5224448	5224639	2	2	2
ENSG00000244734.4	HBB	chr11	5225464	5229395	2	2	2
ENSG00000223609.11	HBD	chr11	5232678	5243657	2	2	2
ENSG00000229988.2	HBBP1	chr11	5241105	5243537	2	2	2
ENSG00000260629.2	BGLT3	chr11	5244554	5245546	2	2	2
ENSG00000213934.9	HBG1	chr11	5248269	5249857	2	2	2
ENSG00000284931.1	AC104389.6	chr11	5248270	5254783	2	2	2
ENSG00000196565.15	HBG2	chr11	5253188	5505605	2	2	2
ENSG00000239920.2	AC104389.5	chr11	5254392	5678434	2	2	2
ENSG00000213931.7	HBE1	chr11	5268345	5505652	2	2	2
ENSG00000229093.1	OR51AB1P	chr11	5291761	5292380	2	2	2
ENSG00000183251.4	OR51B4	chr11	5301014	5301946	2	2	2
ENSG00000167355.8	OR51B5	chr11	5303444	5505652	2	2	2
ENSG00000223735.1	OR51B3P	chr11	5314772	5315684	2	2	2
ENSG00000279012.2	OR51B2	chr11	5323359	5324297	2	2	2
ENSG00000236359.1	OR51B8P	chr11	5330592	5331360	2	2	2
ENSG00000176239.7	OR51B6	chr11	5351508	5352446	2	2	2
ENSG00000230087.1	AC104389.3	chr11	5354692	5355578	2	2	2
ENSG00000236248.1	AC104389.4	chr11	5362615	5362849	2	2	2
ENSG00000184698.5	OR51M1	chr11	5383812	5393263	2	2	2
ENSG00000184321.1	OR51J1	chr11	5402597	5403547	2	2	2
ENSG00000167360.6	OR51Q1	chr11	5422111	5423206	2	2	2
ENSG00000248424.1	OR51K1P	chr11	5430653	5431602	2	2	2
ENSG00000167359.8	OR51I1	chr11	5440570	5441514	2	2	2
ENSG00000187918.5	OR51I2	chr11	5449323	5456518	2	2	2
ENSG00000230484.2	OR51A10P	chr11	5468486	5469422	2	2	2
ENSG00000181609.5	OR52D1	chr11	5488685	5489749	2	2	2
ENSG00000175520.9	UBQLN3	chr11	5507300	5509958	2	2	2
ENSG00000175518.8	UBQLNL	chr11	5514393	5518431	2	2	2
ENSG00000224295.3	OLFM5P	chr11	5518441	5524955	2	2	2
ENSG00000249633.1	OR52V1P	chr11	5527277	5528174	2	2	2
ENSG00000181616.9	OR52H1	chr11	5544489	5548533	2	2	2
ENSG00000248553.1	OR52H2P	chr11	5551662	5552563	2	2	2
ENSG00000231049.2	OR52B5P	chr11	5557096	5564327	2	2	2
ENSG00000233646.1	OR52T1P	chr11	5566678	5567616	2	2	2
ENSG00000229534.1	HNRNPA1P53	chr11	5571247	5572192	2	2	2
ENSG00000187747.2	OR52B6	chr11	5580877	5581884	2	2	2
ENSG00000121236.21	TRIM6	chr11	5596109	5612958	2	2	2
ENSG00000258588.3	TRIM6-TRIM34	chr11	5596725	5644398	2	2	2
ENSG00000258659.7	TRIM34	chr11	5619764	5644398	2	2	2
ENSG00000132256.19	TRIM5	chr11	5663195	5938619	2	2	2
ENSG00000132274.16	TRIM22	chr11	5689697	5737089	2	2	2
ENSG00000232381.1	OR52U1P	chr11	5719290	5720212	2	2	2
ENSG00000181109.3	OR52P1P	chr11	5726502	5727464	2	2	2
ENSG00000181023.8	OR56B1	chr11	5736448	5738523	2	2	2
ENSG00000181074.4	OR52N4	chr11	5754243	5755905	2	2	2
ENSG00000181017.6	OR56B2P	chr11	5761153	5767465	2	2	2
ENSG00000181009.5	OR52N5	chr11	5776165	5783355	2	2	2
ENSG00000181001.3	OR52N1	chr11	5786471	5791265	2	2	2
ENSG00000236965.4	OR52N3P	chr11	5800364	5801297	2	2	2
ENSG00000180988.2	OR52N2	chr11	5820314	5821348	2	2	2
ENSG00000205409.3	OR52E6	chr11	5840928	5841952	2	2	2
ENSG00000183269.5	OR52E8	chr11	5856674	5857734	2	2	2
ENSG00000233563.1	OR52E7P	chr11	5873960	5874892	2	2	2
ENSG00000180974.4	OR52E4	chr11	5880629	5887079	2	2	2
ENSG00000277932.2	OR52E5	chr11	5893208	5902730	2	2	2
ENSG00000277514.1	OR52Q1P	chr11	5903767	5904448	2	2	2
ENSG00000184478.7	OR56A3	chr11	5938751	5951347	2	2	2
ENSG00000188691.5	OR56A5	chr11	5967177	5968494	2	2	2
ENSG00000183313.4	OR52L1	chr11	5985892	5986985	2	2	2
ENSG00000254831.1	KRT18P58	chr11	5993876	5994995	2	2	2
ENSG00000183389.5	OR56A4	chr11	5999445	6006946	2	2	2
ENSG00000202147.1	RNA5SP329	chr11	6016996	6017114	2	2	2
ENSG00000180934.7	OR56A1	chr11	6019336	6034338	2	2	2
