"","external_gene_name","uniprot_gn_id","ID","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score","logFC","regulation","citation_score"
"1","MUC17","Q685J3","Q685J3-F12",3,0,1,0.13,1,3,55.2405705081575,2.93209621105159,"up_reg",99
"2","MUC17","Q685J3","Q685J3-F5",3,0,1,0.317,1,7,50.3874125077656,2.93209621105159,"up_reg",99
"3","MUC17","Q685J3","Q685J3-F3",3,0,1,0.321,1,5,57.0481037344398,2.93209621105159,"up_reg",99
"4","MUC17","Q685J3","Q685J3-F2",3,0,1,0.338,0.999,8,53.7420016594068,2.93209621105159,"up_reg",99
"5","MUC17","Q685J3","Q685J3-F10",3,0,1,0.303,0.998,8,57.3136964859542,2.93209621105159,"up_reg",99
"6","MUC17","Q685J3","Q685J3-F11",3,0,1,0.223,0.998,4,55.8011703011423,2.93209621105159,"up_reg",99
"7","MUC17","Q685J3","Q685J3-F13",3,0,1,0.184,0.998,9,52.1710827629123,2.93209621105159,"up_reg",99
"8","CENPE","Q02224","Q02224-F6",2,0,1,0.135,0.997,5,72.5524854202401,1.26951602554695,"up_reg",436
"9","MUC17","Q685J3","Q685J3-F7",3,0,1,0.253,0.996,7,51.4707361010457,2.93209621105159,"up_reg",99
"10","MUC17","Q685J3","Q685J3-F1",3,0,1,0.162,0.996,6,51.8669174632542,2.93209621105159,"up_reg",99
"11","CD9","P21926","P21926-F1",3,194,6,0.063,0.994,1,88.1191475042064,1.19763020928596,"up_reg",2701
"12","MELK","Q14680","Q14680-F1",2,0,1,0.159,0.993,1,70.6437161388783,1.75287709769629,"up_reg",658
"13","MUC17","Q685J3","Q685J3-F6",3,0,1,0.273,0.993,5,57.7093163011998,2.93209621105159,"up_reg",99
"14","MUC17","Q685J3","Q685J3-F17",3,0,1,0.018,0.993,2,52.4057740764467,2.93209621105159,"up_reg",99
"15","XPR1","Q9UBH6","Q9UBH6-F1",2,0,1,0.207,0.993,3,83.7337209705373,1.31562712118993,"up_reg",176
"16","KIF11","P52732","P52732-F1",2,293,4,0.141,0.991,1,74.7686384864088,1.23577300099621,"up_reg",818
"17","PTGS2","P35354","P35354-F1",2,256,2,0.262,0.987,1,93.3276978417266,2.32862698059374,"up_reg",41091
"18","TEAD4","Q15561","Q15561-F1",2,0,1,0.243,0.986,2,76.5831209630065,1.5950209164224,"up_reg",380
"19","FABP1","P07148","P07148-F1",2,0,1,-0.023,0.981,1,94.9501004016064,7.46207811851609,"up_reg",893
"20","ABCA2","Q9BZC7","Q9BZC7-F1",2,3146,2,0.258,0.976,5,72.3389071383449,1.25859054539232,"up_reg",138
"21","PRC1","O43663","O43663-F1",2,0,1,0.226,0.975,2,80.1142706257473,1.45568791902902,"up_reg",1521
"22","SPAG4","Q9NPE6","Q9NPE6-F1",2,0,1,0.378,0.975,1,71.5642399294325,1.51783508097878,"up_reg",51
"23","KIF20B","Q96Q89","Q96Q89-F1",2,0,2,0.232,0.971,4,63.7483354768835,1.01850773070468,"up_reg",56
"24","H2BC10","P62807","P62807-F1",2,5961,14,0.291,0.965,1,87.8297338792221,1.19742086017872,"up_reg",0
"25","H2BC4","P62807","P62807-F1",2,386,9,0.291,0.965,1,87.8297338792221,1.12067620338952,"up_reg",0
"26","H2BC6","P62807","P62807-F1",2,3612,15,0.291,0.965,1,87.8297338792221,1.51120168645001,"up_reg",0
"27","H2BC7","P62807","P62807-F1",2,5693,14,0.291,0.965,1,87.8297338792221,1.6482629514824,"up_reg",0
"28","H2BC8","P62807","P62807-F1",2,1806,14,0.291,0.965,1,87.8297338792221,1.31323291724831,"up_reg",1
"29","CENPE","Q02224","Q02224-F2",2,0,1,0.126,0.96,2,70.7644444444445,1.26951602554695,"up_reg",436
"30","DNAH3","Q8TD57","Q8TD57-F4",7,0,1,0.164,0.96,4,85.6663929332386,2.30179516810229,"up_reg",16
"31","RARA","P10276","P10276-F1",2,1096,15,0.362,0.958,1,79.418920518602,1.48948861862522,"up_reg",4395
"32","CYBA","P13498","P13498-F1",2,1015,3,0.48,0.957,1,77.0298854447439,1.27298668433821,"up_reg",1043
"33","H2BC17","P23527","P23527-F1",2,6202,10,0.371,0.957,2,88.0009928352098,1.84228775339242,"up_reg",0
"34","TTK","P33981","P33981-F1",2,256,3,0.087,0.956,1,63.954351783879,1.45403650581907,"up_reg",2042
"35","SLC19A3","Q9BZV2","Q9BZV2-F1",3,0,1,0.137,0.955,2,82.1684011184545,3.20388762735079,"up_reg",179
"36","FZD7","O75084","O75084-F1",2,511,3,0.435,0.953,3,84.1490576150067,1.54686289420718,"up_reg",386
"37","PLK1","P53350","P53350-F1",2,3740,10,0.175,0.953,2,85.1698896752706,1.60064405687355,"up_reg",2967
"38","IL32","P24001","P24001-F1",2,0,1,0.099,0.95,2,71.1900160599572,1.53999190076225,"up_reg",623
"39","ASPM","Q8IZT6","Q8IZT6-F10",2,741,4,0.434,0.949,4,62.6404820392025,1.47551523673316,"up_reg",510
"40","CENPE","Q02224","Q02224-F3",2,0,1,0.416,0.949,1,70.8415997235899,1.26951602554695,"up_reg",436
"41","LAMA5","O15230","O15230-F12",5,3,2,0.086,0.946,2,79.2431394807853,2.19606214167148,"up_reg",154
"42","PDE3A","Q14432","Q14432-F1",2,0,1,0.272,0.945,3,61.4864284900285,1.81425732412606,"up_reg",369
"43","H2BC13","Q99880","Q99880-F1",2,926,19,0.414,0.944,2,87.4487040816327,1.72183355257125,"up_reg",0
"44","PTGS1","P23219","P23219-F1",2,0,1,0.142,0.943,1,94.1155716054478,1.69000702753312,"up_reg",3038
"45","SPTBN5","Q9NRC6","Q9NRC6-F9",2,0,1,0.088,0.942,1,80.5840741069054,1.85874495571891,"up_reg",17
"46","DNAH3","Q8TD57","Q8TD57-F14",7,0,1,0.099,0.941,1,85.2511541897445,2.30179516810229,"up_reg",16
"47","H2BC3","P33778","P33778-F1",2,590,12,0.423,0.941,2,87.6427142857143,1.42720846777323,"up_reg",2
"48","FBLN2","P98095","P98095-F1",8,0,1,0.228,0.938,1,67.6160731319555,2.42906566945165,"up_reg",73
"49","H2BC12","O60814","O60814-F1",2,21,10,0.241,0.937,1,88.0577868852459,1.1262710491504,"up_reg",2
"50","RAC3","P60763","P60763-F1",2,2502,5,0.341,0.937,1,93.8337150466045,1.21074016440356,"up_reg",299
"51","NR5A2","O00482","O00482-F1",2,3092,15,0.203,0.936,2,72.8614365541327,1.94220842611759,"up_reg",563
"52","H2BC15","Q99877","Q99877-F1",2,0,17,0.313,0.935,1,87.691308793456,1.13153950869111,"up_reg",0
"53","DNAH9","Q9NYC9","Q9NYC9-F12",2,0,1,0.087,0.93,2,85.7943238180196,3.10971793258756,"up_reg",74
"54","DNAH9","Q9NYC9","Q9NYC9-F13",2,0,1,0.158,0.928,1,84.3100259136806,3.10971793258756,"up_reg",74
"55","ASPM","Q8IZT6","Q8IZT6-F7",2,741,4,0.335,0.927,1,64.3894747828991,1.47551523673316,"up_reg",510
"56","CDC45","O75419","O75419-F1",2,256,2,0.323,0.926,1,92.8874267100977,1.48084265049745,"up_reg",594
"57","SLC27A2","O14975","O14975-F1",4,0,1,0.206,0.925,1,92.7394009681323,1.65646389122171,"up_reg",78
"58","CDC6","Q99741","Q99741-F1",2,4,2,0.244,0.922,2,69.8394804010939,3.35463621839279,"up_reg",1059
"59","DNAH7","Q8WXX0","Q8WXX0-F5",7,0,1,0.424,0.921,2,88.3114077237943,1.51206333200623,"up_reg",21
"60","LAMA5","O15230","O15230-F10",5,3,2,0.241,0.919,3,79.9928498342018,2.19606214167148,"up_reg",154
"61","LAMA5","O15230","O15230-F1",5,3,2,0.244,0.918,2,82.4136653161217,2.19606214167148,"up_reg",154
"62","CENPI","Q92674","Q92674-F1",2,8115,10,0.058,0.915,3,72.7981596597415,1.17371338473514,"up_reg",68
"63","CENPF","P49454","P49454-F7",2,0,3,0.122,0.906,1,71.418744961032,1.5414593193871,"up_reg",385
"64","PBK","Q96KB5","Q96KB5-F1",2,0,2,0.152,0.901,1,84.9070023696682,1.60704601509028,"up_reg",779
"65","TOP2A","P11388","P11388-F1",2,2028,9,0.045,0.897,1,76.4083174292472,2.03075419568085,"up_reg",1326
"66","ITGB8","P26012","P26012-F1",5,0,2,0.085,0.896,1,76.4670721097541,1.64761928058,"up_reg",131
"67","HEPH","Q9BQS7","Q9BQS7-F1",6,0,1,0.288,0.895,2,89.662720356483,1.6746848975766,"up_reg",201
"68","H2BC14","Q99879","Q99879-F1",2,1166,15,0.365,0.888,2,86.1224313326551,1.59222070898207,"up_reg",1
"69","SPAG5","Q96R06","Q96R06-F1",2,1036,5,0.223,0.887,2,63.8131142310147,1.53243066388186,"up_reg",126
"70","ANPEP","P15144","P15144-F1",3,76,2,0.232,0.886,1,93.7512643826761,6.65023315236068,"up_reg",188
"71","HMMR","O75330","O75330-F1",2,0,1,0.192,0.886,2,76.1048990670059,1.77891351591794,"up_reg",249
"72","DNAH3","Q8TD57","Q8TD57-F15",7,0,1,0.172,0.885,2,86.9610395148299,2.30179516810229,"up_reg",16
"73","ESPL1","Q14674","Q14674-F1",2,0,1,0.619,0.885,1,75.7783475713937,1.91147888967904,"up_reg",146
"74","ABCD1","P33897","P33897-F1",4,0,1,0.179,0.884,1,81.7340458668492,1.25865756658411,"up_reg",668
"75","CIT","O14578","O14578-F1",2,0,1,0.129,0.882,1,70.152782431933,1.1162148699126,"up_reg",8626
"76","CENPE","Q02224","Q02224-F8",2,0,1,0.191,0.88,2,74.1531594148887,1.26951602554695,"up_reg",436
"77","ABCC2","Q92887","Q92887-F1",3,0,2,0.256,0.879,6,81.4368457086967,1.50530666465772,"up_reg",2201
"78","DNAH3","Q8TD57","Q8TD57-F5",7,0,1,0.312,0.878,4,88.0664393804522,2.30179516810229,"up_reg",16
"79","SPTBN5","Q9NRC6","Q9NRC6-F11",2,0,1,0.288,0.878,4,81.4864283163721,1.85874495571891,"up_reg",17
"80","MTTP","P55157","P55157-F1",2,0,1,0.279,0.871,2,86.9198238327127,3.18448616997346,"up_reg",429
"81","H2BC11","P06899","P06899-F1",2,383,10,0.25,0.87,2,85.698045035824,1.47967758816573,"up_reg",1
"82","KIF15","Q9NS87","Q9NS87-F1",2,58,2,0.241,0.869,1,72.0212966758756,1.3517848202133,"up_reg",153
"83","SLC1A5","Q15758","Q15758-F1",2,2706,2,0.051,0.866,2,79.5913765385582,1.28684740858986,"up_reg",530
"84","DNAH3","Q8TD57","Q8TD57-F13",7,0,1,0.156,0.864,1,85.291079001521,2.30179516810229,"up_reg",16
"85","SLC7A5","Q01650","Q01650-F1",2,256,3,0.097,0.862,2,86.240030919866,2.70727974781003,"up_reg",853
"86","WDR76","Q9H967","Q9H967-F1",2,4725,4,0.272,0.861,1,75.3804394032291,1.08467031367691,"up_reg",21
"87","NRCAM","Q92823","Q92823-F1",2,256,2,0.09,0.859,2,78.9562778544666,3.48525950713361,"up_reg",323
"88","SPTBN5","Q9NRC6","Q9NRC6-F2",2,0,1,0.193,0.859,2,82.1263610263772,1.85874495571891,"up_reg",17
"89","DNAH9","Q9NYC9","Q9NYC9-F16",2,0,1,0.142,0.858,3,85.5620783752349,3.10971793258756,"up_reg",74
"90","DNAH9","Q9NYC9","Q9NYC9-F15",2,0,1,0.197,0.856,2,86.2695903549659,3.10971793258756,"up_reg",74
"91","DNAH7","Q8WXX0","Q8WXX0-F15",7,0,1,0.086,0.848,3,89.7793089015925,1.51206333200623,"up_reg",21
"92","BUB1B","O60566","O60566-F1",2,514,5,0.211,0.846,2,64.7205771748185,1.5269676102135,"up_reg",471
"93","POLD1","P28340","P28340-F1",2,1025,5,0.097,0.843,2,86.9567614224882,1.34505557448799,"up_reg",318
"94","SLC2A1","P11166","P11166-F1",12,0,1,0.19,0.839,1,89.6153121720881,1.42205097805753,"up_reg",3559
"95","ASPM","Q8IZT6","Q8IZT6-F3",2,741,4,0.121,0.835,1,67.4665928669883,1.47551523673316,"up_reg",510
"96","LAMA5","O15230","O15230-F11",5,3,2,0.204,0.833,5,78.9432836520435,2.19606214167148,"up_reg",154
"97","CENPF","P49454","P49454-F9",2,0,3,0.372,0.826,1,72.0016993930739,1.5414593193871,"up_reg",385
"98","H2BC18","Q5QNW6","Q5QNW6-F1",2,1368,8,0.422,0.825,2,87.956881390593,1.29439193051378,"up_reg",0
"99","ASPM","Q8IZT6","Q8IZT6-F11",2,741,4,0.163,0.82,2,68.8386483283961,1.47551523673316,"up_reg",510
"100","DNAH7","Q8WXX0","Q8WXX0-F3",7,0,1,0.157,0.817,2,87.3683936451898,1.51206333200623,"up_reg",21
"101","GPI","P06744","P06744-F1",2,256,2,0.383,0.816,2,97.8407676767677,1.54521509289398,"up_reg",20915
"102","CENPA","P49450","P49450-F1",2,3036,9,0.14,0.815,2,82.0783628318584,1.77099728172219,"up_reg",1087
"103","KIF20A","O95235","O95235-F1",2,787,6,0.333,0.814,3,67.3045557924662,1.47060525196733,"up_reg",300
"104","DNAH3","Q8TD57","Q8TD57-F6",7,0,1,0.199,0.807,4,87.745115370962,2.30179516810229,"up_reg",16
"105","SPTBN5","Q9NRC6","Q9NRC6-F3",2,0,1,0.204,0.805,3,81.9798392311838,1.85874495571891,"up_reg",17
"106","LAMA5","O15230","O15230-F13",5,3,2,0.15,0.804,1,81.6785118626956,2.19606214167148,"up_reg",154
"107","ASPM","Q8IZT6","Q8IZT6-F2",2,741,4,0.163,0.803,2,63.4932934706704,1.47551523673316,"up_reg",510
"108","MUC16","Q8WXI7","Q8WXI7-F58",2,0,1,0.18,0.798,1,55.9683919501677,4.62714999301996,"up_reg",1348
"109","SPTBN5","Q9NRC6","Q9NRC6-F10",2,0,1,0.205,0.796,1,80.9546235795455,1.85874495571891,"up_reg",17
"110","RECQL4","O94761","O94761-F1",2,1894,7,0.125,0.793,1,69.0309568099209,2.36460364312562,"up_reg",333
"111","RTKN","Q9BST9","Q9BST9-F1",16,0,1,0.115,0.793,1,72.7382223232553,1.28319767232015,"up_reg",69
"112","CENPF","P49454","P49454-F8",2,0,3,0.307,0.792,6,71.5561330839123,1.5414593193871,"up_reg",385
"113","FGFR4","P22455","P22455-F1",2,0,1,0.145,0.792,3,74.6104747295333,1.87529656311145,"up_reg",1190
"114","AURKB","Q96GD4","Q96GD4-F1",2,0,2,0.06,0.789,2,79.8540354046243,1.34826231232047,"up_reg",1367
"115","CHAF1B","Q13112","Q13112-F1",2,0,1,0.173,0.789,1,75.3852922152922,1.00693710069317,"up_reg",92
"116","MZT2A","Q6P582","Q6P582-F1",2,256,2,0.264,0.788,1,65.5028370044053,1.09567376871439,"up_reg",5
"117","ATP1A1","P05023","P05023-F1",2,3856,3,0.2,0.787,1,88.6991839051463,1.21288635643943,"up_reg",567
"118","DNAH9","Q9NYC9","Q9NYC9-F10",2,0,1,0.09,0.786,2,87.2230745175125,3.10971793258756,"up_reg",74
"119","LAMA5","O15230","O15230-F7",5,3,2,0.102,0.782,2,78.1302530086231,2.19606214167148,"up_reg",154
"120","DNAH7","Q8WXX0","Q8WXX0-F10",7,0,1,0.212,0.781,3,85.9511892229458,1.51206333200623,"up_reg",21
"121","TGM2","P21980","P21980-F1",2,0,1,0.245,0.781,1,92.7830439580651,1.90068089332196,"up_reg",588
"122","CDC25C","P30307","P30307-F1",2,0,1,0.362,0.777,1,64.1824899598394,1.54973452216623,"up_reg",1460
"123","ATP1B3","P54709","P54709-F1",2,2942,3,0.329,0.776,1,89.5213558558559,1.75243068346046,"up_reg",51
"124","TRAIP","Q9BWF2","Q9BWF2-F1",2,0,1,0.303,0.77,1,74.9543435155413,1.04552321344671,"up_reg",59
"125","WDR62","O43379","O43379-F1",2,256,2,0.088,0.77,2,61.3650231402125,1.68576113213249,"up_reg",124
"126","ASPM","Q8IZT6","Q8IZT6-F1",2,741,4,0.107,0.769,2,62.0182791688865,1.47551523673316,"up_reg",510
"127","CENPF","P49454","P49454-F10",2,0,3,0.416,0.769,3,73.1536007249142,1.5414593193871,"up_reg",385
"128","DNAH9","Q9NYC9","Q9NYC9-F4",2,0,1,0.401,0.767,4,85.3379933080919,3.10971793258756,"up_reg",74
"129","LGR5","O75473","O75473-F1",3,22,2,0.267,0.766,4,80.7447220247405,3.55028025077128,"up_reg",2019
"130","ORC1","Q13415","Q13415-F1",2,8617,7,0.154,0.765,1,67.9746077283372,1.79992644564815,"up_reg",375
"131","PHF19","Q5T6S3","Q5T6S3-F1",2,7187,13,0.257,0.765,1,69.8870806241873,1.20876976288699,"up_reg",69
"132","PPFIA3","O75145","O75145-F1",2,0,1,0.306,0.764,3,69.9298802779262,2.00753851502369,"up_reg",8
"133","ANLN","Q9NQW6","Q9NQW6-F1",2,1576,5,0.121,0.76,1,59.8741904323827,1.59791723094277,"up_reg",227
"134","SPTBN5","Q9NRC6","Q9NRC6-F4",2,0,1,0.332,0.758,3,80.2626154672395,1.85874495571891,"up_reg",17
"135","ASPM","Q8IZT6","Q8IZT6-F12",2,741,4,0.305,0.756,1,71.8200900482733,1.47551523673316,"up_reg",510
"136","DNAH9","Q9NYC9","Q9NYC9-F1",2,0,1,0.154,0.754,1,83.2181195296614,3.10971793258756,"up_reg",74
"137","LMNB1","P20700","P20700-F1",2,256,3,0.275,0.754,2,82.6346633684663,1.29239405422761,"up_reg",199
"138","CENPE","Q02224","Q02224-F7",2,0,1,0.304,0.741,2,72.4408738281586,1.26951602554695,"up_reg",436
"139","DNA2","P51530","P51530-F1",2,1304,4,0.216,0.741,2,87.5620381561796,1.11138367839174,"up_reg",599
"140","DNAH7","Q8WXX0","Q8WXX0-F7",7,0,1,0.146,0.736,2,88.3695649466192,1.51206333200623,"up_reg",21
"141","SPTBN2","O15020","O15020-F1",2,510,2,0.242,0.736,3,76.775214383059,2.15769926500256,"up_reg",97
"142","DNAH3","Q8TD57","Q8TD57-F3",7,0,1,0.165,0.733,3,84.8697684117125,2.30179516810229,"up_reg",16
"143","CHEK1","O14757","O14757-F1",2,256,3,0.067,0.732,1,78.1344110733873,1.18476561262549,"up_reg",2096
"144","MME","P08473","P08473-F1",3,112,2,0.377,0.727,3,96.2247209302326,2.6321286991768,"up_reg",2260
"145","BCAM","P50895","P50895-F1",5,0,1,0.182,0.725,3,84.5844937645318,2.89021863730961,"up_reg",423
"146","DNAH9","Q9NYC9","Q9NYC9-F2",2,0,1,0.275,0.722,1,84.3222623208668,3.10971793258756,"up_reg",74
"147","MUC16","Q8WXI7","Q8WXI7-F66",2,0,1,0.177,0.72,2,77.3666569129481,4.62714999301996,"up_reg",1348
"148","POLQ","O75417","O75417-F1",2,0,1,0.104,0.717,1,59.4862674012494,1.68932933893685,"up_reg",184
"149","KPNA2","P52292","P52292-F1",2,327,3,0.024,0.711,1,86.1073162939297,1.24147268085607,"up_reg",312
"150","SHCBP1","Q8NEM2","Q8NEM2-F1",2,0,1,0.18,0.711,1,73.6964627259036,1.16728570723445,"up_reg",64
"151","SPC25","Q9HBM1","Q9HBM1-F1",2,0,1,0.39,0.708,1,90.2554752851711,1.31812980200458,"up_reg",106
"152","FANCA","O15360","O15360-F1",2,0,1,0.135,0.707,1,74.565869508254,1.02588014155032,"up_reg",687
"153","RARRES1","P49788","P49788-F1",9,0,1,0.423,0.702,3,79.9436371379898,2.92110636566636,"up_reg",100
"154","FOXM1","Q08050","Q08050-F1",2,633,4,0.173,0.701,1,51.0762881727687,1.64678003301896,"up_reg",2249
"155","DNAH3","Q8TD57","Q8TD57-F8",7,0,1,0.127,0.7,3,86.0321524543175,2.30179516810229,"up_reg",16
"156","PFKFB3","Q16875","Q16875-F1",11,1,2,0.182,0.7,1,87.1352712066906,1.54873341196275,"up_reg",653
"157","CCNB1","P14635","P14635-F1",2,2372,13,0.078,0.699,1,77.7724150162578,1.7977283857172,"up_reg",2282
"158","SPTBN5","Q9NRC6","Q9NRC6-F12",2,0,1,0.288,0.697,2,78.326631465903,1.85874495571891,"up_reg",17
"159","MCM6","Q14566","Q14566-F1",2,1702,7,0.032,0.695,2,77.3392261722341,1.03851952235895,"up_reg",380
"160","STIL","Q15468","Q15468-F1",2,0,1,0.163,0.693,1,53.6494972568579,1.03423876906239,"up_reg",468
"161","LDHA","P00338","P00338-F1",11,0,1,0.089,0.69,1,96.0605007763975,1.06773161342815,"up_reg",2214
"162","DNAH9","Q9NYC9","Q9NYC9-F11",2,0,1,0.048,0.687,2,87.7892278164613,3.10971793258756,"up_reg",74
"163","ABCC4","O15439","O15439-F1",3,57,2,0.139,0.684,3,83.5914731549991,1.19446858578755,"up_reg",841
"164","ITGA7","Q13683","Q13683-F1",5,4,3,0.119,0.684,2,79.4751861643534,1.43857036767839,"up_reg",230
"165","NCAPH","Q15003","Q15003-F1",2,256,2,0.198,0.683,1,60.7197876747799,1.72577929176336,"up_reg",71
"166","SKA3","Q8IX90","Q8IX90-F1",2,253,2,0.354,0.683,1,64.7586888273315,1.52313154590542,"up_reg",97
"167","LAMA5","O15230","O15230-F6",5,3,2,0.157,0.682,2,80.8888927893738,2.19606214167148,"up_reg",154
"168","DNAH3","Q8TD57","Q8TD57-F10",7,0,1,0.134,0.681,1,85.2285164102108,2.30179516810229,"up_reg",16
"169","LAMA5","O15230","O15230-F8",5,3,2,0.061,0.679,2,75.2661202964652,2.19606214167148,"up_reg",154
"170","TRIP13","Q15645","Q15645-F1",2,0,1,0.249,0.677,2,86.9794004094765,1.90975809842277,"up_reg",195
"171","ASPM","Q8IZT6","Q8IZT6-F8",2,741,4,0.448,0.675,3,63.9280011713521,1.47551523673316,"up_reg",510
"172","PKMYT1","Q99640","Q99640-F1",2,216,3,0.142,0.674,1,75.590281030445,2.4126683981023,"up_reg",107
"173","DNAH9","Q9NYC9","Q9NYC9-F17",2,0,1,0.2,0.671,1,88.3544119362364,3.10971793258756,"up_reg",74
"174","ASPM","Q8IZT6","Q8IZT6-F6",2,741,4,0.197,0.67,3,66.2575664052618,1.47551523673316,"up_reg",510
"175","CENPE","Q02224","Q02224-F1",2,0,1,0.308,0.67,2,71.0705068277311,1.26951602554695,"up_reg",436
"176","LAMA5","O15230","O15230-F4",5,3,2,0.172,0.67,2,84.3548127784624,2.19606214167148,"up_reg",154
"177","DLGAP5","Q15398","Q15398-F1",2,762,2,0.128,0.669,1,56.3710199490026,1.47536789778579,"up_reg",180
"178","RAD54L","Q92698","Q92698-F1",2,0,1,0.171,0.669,1,80.5122278481013,1.50906684387165,"up_reg",180
"179","BCL6","P41182","P41182-F1",2,256,2,0.071,0.668,1,50.1097116430903,1.1212946633186,"up_reg",4213
"180","DNAH3","Q8TD57","Q8TD57-F9",7,0,1,0.115,0.668,1,84.6808236865539,2.30179516810229,"up_reg",16
"181","KIF4A","O95239","O95239-F1",2,0,2,0.244,0.668,3,72.1712231759657,1.62389861451544,"up_reg",225
"182","DNAH3","Q8TD57","Q8TD57-F1",7,0,1,0.199,0.662,1,78.2948199226985,2.30179516810229,"up_reg",16
"183","FANCB","Q8NB91","Q8NB91-F1",2,0,1,0.127,0.662,3,71.9862835472579,1.29708244936055,"up_reg",86
"184","GPC1","P35052","P35052-F1",2,1012,2,0.159,0.659,1,82.8974554707379,2.01545520415191,"up_reg",264
"185","XRCC2","O43543","O43543-F1",2,168,3,0.516,0.659,1,87.09828125,1.51248749164196,"up_reg",428
"186","MCM4","P33991","P33991-F1",2,679,7,0.217,0.658,3,73.7432969464523,1.16647268524583,"up_reg",448
"187","NEK2","P51955","P51955-F1",2,0,2,0.136,0.658,2,78.7481933351694,1.91856720595053,"up_reg",489
"188","LAMA5","O15230","O15230-F2",5,3,2,0.026,0.656,1,82.8635124123555,2.19606214167148,"up_reg",154
"189","TPX2","Q9ULW0","Q9ULW0-F1",2,510,2,0.402,0.656,1,64.2385140295534,1.65668492992491,"up_reg",682
"190","NCAPG","Q9BPX3","Q9BPX3-F1",2,0,1,0.163,0.655,1,82.5022967581047,1.66954332119215,"up_reg",252
"191","DNAH7","Q8WXX0","Q8WXX0-F9",7,0,1,0.177,0.654,2,86.4595719774819,1.51206333200623,"up_reg",21
"192","CENPH","Q9H3R5","Q9H3R5-F1",2,0,7,0.285,0.649,1,83.391973816717,1.36059872592309,"up_reg",90
"193","BAMBI","Q13145","Q13145-F1",2,0,1,0.346,0.648,1,64.8537543167242,1.51534838006127,"up_reg",571
"194","H2BC21","Q16778","Q16778-F1",2,0,6,0.458,0.645,2,88.0431390593047,1.30748560347325,"up_reg",2
"195","PODXL","O00592","O00592-F1",3,0,1,0.288,0.644,1,53.9282365853659,1.52956897956397,"up_reg",211
"196","RAD51","Q06609","Q06609-F1",2,1231,3,0.282,0.64,1,91.5906682116647,1.16949931143739,"up_reg",5826
"197","GINS4","Q9BRT9","Q9BRT9-F1",2,571,2,0.324,0.635,1,90.748319649699,1.3419568189153,"up_reg",36
"198","MYBL2","P10244","P10244-F1",2,0,1,0.066,0.633,1,58.4505143475907,2.29687247401837,"up_reg",477
"199","CLDN3","O15551","O15551-F1",3,0,2,0.271,0.631,1,81.4275857843137,4.73991430097182,"up_reg",485
"200","H1-5","P16401","P16401-F1",2,1751,5,0.282,0.629,1,64.5559609325772,1.5815431806684,"up_reg",137
"201","DNAH7","Q8WXX0","Q8WXX0-F6",7,0,1,0.352,0.626,2,89.3561267418124,1.51206333200623,"up_reg",21
"202","PCDHGB1","Q9Y5G3","Q9Y5G3-F1",14,0,1,0.109,0.624,2,75.2197294234311,3.06774800238547,"up_reg",2
"203","H3C1","P68431","P68431-F1",2,2134,12,0.351,0.623,1,87.2869195189639,1.09755894674292,"up_reg",5
"204","H3C10","P68431","P68431-F1",2,496,7,0.351,0.623,1,87.2869195189639,1.82956560669675,"up_reg",0
"205","H3C11","P68431","P68431-F1",2,532,6,0.351,0.623,1,87.2869195189639,1.51181876712282,"up_reg",1
